symbol,name,market_code,asset_class,currency,tick_size,lot_size
317450,명인제약,KRX,kr_stock,KRW,100,1
1270,부국증권,KRX,kr_stock,KRW,100,1
14820,동원시스템즈,KRX,kr_stock,KRW,100,1
5090,SGC에너지,KRX,kr_stock,KRW,100,1
93050,LF,KRX,kr_stock,KRW,100,1
1680,대상,KRX,kr_stock,KRW,100,1
249420,일동제약,KRX,kr_stock,KRW,100,1
1060,JW중외제약,KRX,kr_stock,KRW,100,1
69260,TKG휴켐스,KRX,kr_stock,KRW,100,1
7700,F&F홀딩스,KRX,kr_stock,KRW,100,1
16380,KG스틸,KRX,kr_stock,KRW,100,1
161000,애경케미칼,KRX,kr_stock,KRW,100,1
1500,현대차증권,KRX,kr_stock,KRW,100,1
1820,삼화콘덴서,KRX,kr_stock,KRW,100,1
15860,일진홀딩스,KRX,kr_stock,KRW,100,1
17940,E1,KRX,kr_stock,KRW,100,1
17900,광전자,KRX,kr_stock,KRW,100,1
5180,빙그레,KRX,kr_stock,KRW,100,1
2350,넥센타이어,KRX,kr_stock,KRW,100,1
460860,동국제강,KRX,kr_stock,KRW,100,1
293940,신한알파리츠,KRX,kr_stock,KRW,100,1
2840,미원상사,KRX,kr_stock,KRW,100,1
3280,흥아해운,KRX,kr_stock,KRW,100,1
383800,LX홀딩스,KRX,kr_stock,KRW,100,1
58650,세아홀딩스,KRX,kr_stock,KRW,100,1
640,동아쏘시오홀딩스,KRX,kr_stock,KRW,100,1
400,롯데손해보험,KRX,kr_stock,KRW,100,1
452260,한화갤러리아,KRX,kr_stock,KRW,100,1
5389,현대차3우B,KRX,kr_stock,KRW,100,1
1570,금양,KRX,kr_stock,KRW,100,1
1530,DI동일,KRX,kr_stock,KRW,100,1
217590,티엠씨,KRX,kr_stock,KRW,100,1
2960,한국쉘석유,KRX,kr_stock,KRW,100,1
5810,풍산홀딩스,KRX,kr_stock,KRW,100,1
20000,한섬,KRX,kr_stock,KRW,100,1
39130,하나투어,KRX,kr_stock,KRW,100,1
9900,명신산업,KRX,kr_stock,KRW,100,1
6380,카프로,KRX,kr_stock,KRW,100,1
5420,코스모화학,KRX,kr_stock,KRW,100,1
8060,대덕,KRX,kr_stock,KRW,100,1
1200,유진투자증권,KRX,kr_stock,KRW,100,1
453340,현대그린푸드,KRX,kr_stock,KRW,100,1
8730,율촌화학,KRX,kr_stock,KRW,100,1
2240,고려제강,KRX,kr_stock,KRW,100,1
10820,퍼스텍,KRX,kr_stock,KRW,100,1
19170,신풍제약,KRX,kr_stock,KRW,100,1
271940,일진하이솔루스,KRX,kr_stock,KRW,100,1
31430,신세계인터내셔날,KRX,kr_stock,KRW,100,1
403550,쏘카,KRX,kr_stock,KRW,100,1
16610,DB증권,KRX,kr_stock,KRW,100,1
3000,부광약품,KRX,kr_stock,KRW,100,1
3545,대신증권우,KRX,kr_stock,KRW,100,1
284740,쿠쿠홈시스,KRX,kr_stock,KRW,100,1
14830,유니드,KRX,kr_stock,KRW,100,1
3300,한일홀딩스,KRX,kr_stock,KRW,100,1
9410,태영건설,KRX,kr_stock,KRW,100,1
268280,미원에스씨,KRX,kr_stock,KRW,100,1
130660,한전산업,KRX,kr_stock,KRW,100,1
377740,바이오노트,KRX,kr_stock,KRW,100,1
94800,맵스리얼티,KRX,kr_stock,KRW,100,1
10690,화신,KRX,kr_stock,KRW,100,1
0120G0,삼양바이오팜,KRX,kr_stock,KRW,100,1
5945,NH투자증권우,KRX,kr_stock,KRW,100,1
6405,삼성SDI우,KRX,kr_stock,KRW,100,1
448730,삼성FN리츠,KRX,kr_stock,KRW,100,1
157,두산2우B,KRX,kr_stock,KRW,100,1
4690,삼천리,KRX,kr_stock,KRW,100,1
381970,케이카,KRX,kr_stock,KRW,100,1
70,삼양홀딩스,KRX,kr_stock,KRW,100,1
34310,NICE,KRX,kr_stock,KRW,100,1
92790,넥스틸,KRX,kr_stock,KRW,100,1
16590,신대양제지,KRX,kr_stock,KRW,100,1
27410,BGF,KRX,kr_stock,KRW,100,1
90435,아모레퍼시픽우,KRX,kr_stock,KRW,100,1
950210,프레스티지바이오파마,KRX,kr_stock,KRW,100,1
145990,삼양사,KRX,kr_stock,KRW,100,1
145720,덴티움,KRX,kr_stock,KRW,100,1
2710,TCC스틸,KRX,kr_stock,KRW,100,1
306200,세아제강,KRX,kr_stock,KRW,100,1
15360,INVENI,KRX,kr_stock,KRW,100,1
105840,우진,KRX,kr_stock,KRW,100,1
29530,신도리코,KRX,kr_stock,KRW,100,1
12030,DB,KRX,kr_stock,KRW,100,1
2030,아세아,KRX,kr_stock,KRW,100,1
6220,제주은행,KRX,kr_stock,KRW,100,1
192650,드림텍,KRX,kr_stock,KRW,100,1
25860,남해화학,KRX,kr_stock,KRW,100,1
4710,한솔테크닉스,KRX,kr_stock,KRW,100,1
