symbol,name,market_code,asset_class,currency,tick_size,lot_size,is_active
415640,KB발해인프라,KRX,kr_stock,KRW,100,1,TRUE
000080,하이트진로,KRX,kr_stock,KRW,100,1,TRUE
003240,태광산업,KRX,kr_stock,KRW,100,1,TRUE
089860,롯데렌탈,KRX,kr_stock,KRW,100,1,TRUE
000670,영풍,KRX,kr_stock,KRW,100,1,TRUE
330590,롯데리츠,KRX,kr_stock,KRW,100,1,TRUE
000815,삼성화재우,KRX,kr_stock,KRW,100,1,TRUE
009450,경동나비엔,KRX,kr_stock,KRW,100,1,TRUE
185750,종근당,KRX,kr_stock,KRW,100,1,TRUE
009155,삼성전기우,KRX,kr_stock,KRW,100,1,TRUE
280360,롯데웰푸드,KRX,kr_stock,KRW,100,1,TRUE
005300,롯데칠성,KRX,kr_stock,KRW,100,1,TRUE
005690,파미셀,KRX,kr_stock,KRW,100,1,TRUE
499790,GS피앤엘,KRX,kr_stock,KRW,100,1,TRUE
298050,HS효성첨단소재,KRX,kr_stock,KRW,100,1,TRUE
365550,ESR켄달스퀘어리츠,KRX,kr_stock,KRW,100,1,TRUE
057050,현대홈쇼핑,KRX,kr_stock,KRW,100,1,TRUE
248070,솔루엠,KRX,kr_stock,KRW,100,1,TRUE
108320,LX세미콘,KRX,kr_stock,KRW,100,1,TRUE
001510,SK증권,KRX,kr_stock,KRW,100,1,TRUE
033240,자화전자,KRX,kr_stock,KRW,100,1,TRUE
071055,한국금융지주우,KRX,kr_stock,KRW,100,1,TRUE
100840,SNT에너지,KRX,kr_stock,KRW,100,1,TRUE
137310,에스디바이오센서,KRX,kr_stock,KRW,100,1,TRUE
192400,쿠쿠홀딩스,KRX,kr_stock,KRW,100,1,TRUE
075580,세진중공업,KRX,kr_stock,KRW,100,1,TRUE
00088K,한화3우B,KRX,kr_stock,KRW,100,1,TRUE
451800,한화리츠,KRX,kr_stock,KRW,100,1,TRUE
006650,대한유화,KRX,kr_stock,KRW,100,1,TRUE
006120,SK디스커버리,KRX,kr_stock,KRW,100,1,TRUE
484870,엠앤씨솔루션,KRX,kr_stock,KRW,100,1,TRUE
079900,전진건설로봇,KRX,kr_stock,KRW,100,1,TRUE
002020,코오롱,KRX,kr_stock,KRW,100,1,TRUE
003160,디아이,KRX,kr_stock,KRW,100,1,TRUE
025540,한국단자,KRX,kr_stock,KRW,100,1,TRUE
285130,SK케미칼,KRX,kr_stock,KRW,100,1,TRUE
071320,지역난방공사,KRX,kr_stock,KRW,100,1,TRUE
178920,PI첨단소재,KRX,kr_stock,KRW,100,1,TRUE
010780,아이에스동서,KRX,kr_stock,KRW,100,1,TRUE
036530,SNT홀딩스,KRX,kr_stock,KRW,100,1,TRUE
064960,SNT모티브,KRX,kr_stock,KRW,100,1,TRUE
004490,세방전지,KRX,kr_stock,KRW,100,1,TRUE
009240,한샘,KRX,kr_stock,KRW,100,1,TRUE
003850,보령,KRX,kr_stock,KRW,100,1,TRUE
336370,솔루스첨단소재,KRX,kr_stock,KRW,100,1,TRUE
030190,NICE평가정보,KRX,kr_stock,KRW,100,1,TRUE
005880,대한해운,KRX,kr_stock,KRW,100,1,TRUE
079160,CJ CGV,KRX,kr_stock,KRW,100,1,TRUE
011930,신성이엔지,KRX,kr_stock,KRW,100,1,TRUE
214320,이노션,KRX,kr_stock,KRW,100,1,TRUE
000370,한화손해보험,KRX,kr_stock,KRW,100,1,TRUE
003620,KG모빌리티,KRX,kr_stock,KRW,100,1,TRUE
005250,녹십자홀딩스,KRX,kr_stock,KRW,100,1,TRUE
00104K,CJ4우(전환),KRX,kr_stock,KRW,100,1,TRUE
003030,세아제강지주,KRX,kr_stock,KRW,100,1,TRUE
114090,GKL,KRX,kr_stock,KRW,100,1,TRUE
317450,명인제약,KRX,kr_stock,KRW,100,1,TRUE
001270,부국증권,KRX,kr_stock,KRW,100,1,TRUE
014820,동원시스템즈,KRX,kr_stock,KRW,100,1,TRUE
005090,SGC에너지,KRX,kr_stock,KRW,100,1,TRUE
093050,LF,KRX,kr_stock,KRW,100,1,TRUE
001680,대상,KRX,kr_stock,KRW,100,1,TRUE
249420,일동제약,KRX,kr_stock,KRW,100,1,TRUE
001060,JW중외제약,KRX,kr_stock,KRW,100,1,TRUE
069260,TKG휴켐스,KRX,kr_stock,KRW,100,1,TRUE
007700,F&F홀딩스,KRX,kr_stock,KRW,100,1,TRUE
016380,KG스틸,KRX,kr_stock,KRW,100,1,TRUE
161000,애경케미칼,KRX,kr_stock,KRW,100,1,TRUE
001500,현대차증권,KRX,kr_stock,KRW,100,1,TRUE
001820,삼화콘덴서,KRX,kr_stock,KRW,100,1,TRUE
015860,일진홀딩스,KRX,kr_stock,KRW,100,1,TRUE
017940,E1,KRX,kr_stock,KRW,100,1,TRUE
017900,광전자,KRX,kr_stock,KRW,100,1,TRUE
005180,빙그레,KRX,kr_stock,KRW,100,1,TRUE
002350,넥센타이어,KRX,kr_stock,KRW,100,1,TRUE
460860,동국제강,KRX,kr_stock,KRW,100,1,TRUE
293940,신한알파리츠,KRX,kr_stock,KRW,100,1,TRUE
002840,미원상사,KRX,kr_stock,KRW,100,1,TRUE
003280,흥아해운,KRX,kr_stock,KRW,100,1,TRUE
383800,LX홀딩스,KRX,kr_stock,KRW,100,1,TRUE
058650,세아홀딩스,KRX,kr_stock,KRW,100,1,TRUE
000640,동아쏘시오홀딩스,KRX,kr_stock,KRW,100,1,TRUE
000400,롯데손해보험,KRX,kr_stock,KRW,100,1,TRUE
452260,한화갤러리아,KRX,kr_stock,KRW,100,1,TRUE
005389,현대차3우B,KRX,kr_stock,KRW,100,1,TRUE
001570,금양,KRX,kr_stock,KRW,100,1,TRUE
001530,DI동일,KRX,kr_stock,KRW,100,1,TRUE
217590,티엠씨,KRX,kr_stock,KRW,100,1,TRUE
002960,한국쉘석유,KRX,kr_stock,KRW,100,1,TRUE
005810,풍산홀딩스,KRX,kr_stock,KRW,100,1,TRUE
020000,한섬,KRX,kr_stock,KRW,100,1,TRUE
039130,하나투어,KRX,kr_stock,KRW,100,1,TRUE
009900,명신산업,KRX,kr_stock,KRW,100,1,TRUE
006380,카프로,KRX,kr_stock,KRW,100,1,TRUE
005420,코스모화학,KRX,kr_stock,KRW,100,1,TRUE
008060,대덕,KRX,kr_stock,KRW,100,1,TRUE
001200,유진투자증권,KRX,kr_stock,KRW,100,1,TRUE
453340,현대그린푸드,KRX,kr_stock,KRW,100,1,TRUE
008730,율촌화학,KRX,kr_stock,KRW,100,1,TRUE
002240,고려제강,KRX,kr_stock,KRW,100,1,TRUE
010820,퍼스텍,KRX,kr_stock,KRW,100,1,TRUE
019170,신풍제약,KRX,kr_stock,KRW,100,1,TRUE
271940,일진하이솔루스,KRX,kr_stock,KRW,100,1,TRUE
031430,신세계인터내셔날,KRX,kr_stock,KRW,100,1,TRUE
403550,쏘카,KRX,kr_stock,KRW,100,1,TRUE
016610,DB증권,KRX,kr_stock,KRW,100,1,TRUE
003000,부광약품,KRX,kr_stock,KRW,100,1,TRUE
003545,대신증권우,KRX,kr_stock,KRW,100,1,TRUE
284740,쿠쿠홈시스,KRX,kr_stock,KRW,100,1,TRUE
014830,유니드,KRX,kr_stock,KRW,100,1,TRUE
003300,한일홀딩스,KRX,kr_stock,KRW,100,1,TRUE
009410,태영건설,KRX,kr_stock,KRW,100,1,TRUE
268280,미원에스씨,KRX,kr_stock,KRW,100,1,TRUE
130660,한전산업,KRX,kr_stock,KRW,100,1,TRUE
377740,바이오노트,KRX,kr_stock,KRW,100,1,TRUE
094800,맵스리얼티,KRX,kr_stock,KRW,100,1,TRUE
010690,화신,KRX,kr_stock,KRW,100,1,TRUE
0120G0,삼양바이오팜,KRX,kr_stock,KRW,100,1,TRUE
005945,NH투자증권우,KRX,kr_stock,KRW,100,1,TRUE
006405,삼성SDI우,KRX,kr_stock,KRW,100,1,TRUE
448730,삼성FN리츠,KRX,kr_stock,KRW,100,1,TRUE
000157,두산2우B,KRX,kr_stock,KRW,100,1,TRUE
004690,삼천리,KRX,kr_stock,KRW,100,1,TRUE
381970,케이카,KRX,kr_stock,KRW,100,1,TRUE
000070,삼양홀딩스,KRX,kr_stock,KRW,100,1,TRUE
034310,NICE,KRX,kr_stock,KRW,100,1,TRUE
092790,넥스틸,KRX,kr_stock,KRW,100,1,TRUE
016590,신대양제지,KRX,kr_stock,KRW,100,1,TRUE
027410,BGF,KRX,kr_stock,KRW,100,1,TRUE
090435,아모레퍼시픽우,KRX,kr_stock,KRW,100,1,TRUE
950210,프레스티지바이오파마,KRX,kr_stock,KRW,100,1,TRUE
145990,삼양사,KRX,kr_stock,KRW,100,1,TRUE
145720,덴티움,KRX,kr_stock,KRW,100,1,TRUE
002710,TCC스틸,KRX,kr_stock,KRW,100,1,TRUE
306200,세아제강,KRX,kr_stock,KRW,100,1,TRUE
015360,INVENI,KRX,kr_stock,KRW,100,1,TRUE
105840,우진,KRX,kr_stock,KRW,100,1,TRUE
029530,신도리코,KRX,kr_stock,KRW,100,1,TRUE
012030,DB,KRX,kr_stock,KRW,100,1,TRUE
002030,아세아,KRX,kr_stock,KRW,100,1,TRUE
006220,제주은행,KRX,kr_stock,KRW,100,1,TRUE
192650,드림텍,KRX,kr_stock,KRW,100,1,TRUE
025860,남해화학,KRX,kr_stock,KRW,100,1,TRUE
004710,한솔테크닉스,KRX,kr_stock,KRW,100,1,TRUE
029460,케이씨,KRX,kr_stock,KRW,100,1,TRUE
058430,포스코스틸리온,KRX,kr_stock,KRW,100,1,TRUE
072710,농심홀딩스,KRX,kr_stock,KRW,100,1,TRUE
126720,수산인더스트리,KRX,kr_stock,KRW,100,1,TRUE
357120,코람코라이프인프라리츠,KRX,kr_stock,KRW,100,1,TRUE
017810,풀무원,KRX,kr_stock,KRW,100,1,TRUE
009160,SIMPAC,KRX,kr_stock,KRW,100,1,TRUE
344820,KCC글라스,KRX,kr_stock,KRW,100,1,TRUE
060980,HL홀딩스,KRX,kr_stock,KRW,100,1,TRUE
000650,천일고속,KRX,kr_stock,KRW,100,1,TRUE
003720,삼영,KRX,kr_stock,KRW,100,1,TRUE
004700,조광피혁,KRX,kr_stock,KRW,100,1,TRUE
105630,한세실업,KRX,kr_stock,KRW,100,1,TRUE
170900,동아에스티,KRX,kr_stock,KRW,100,1,TRUE
097520,엠씨넥스,KRX,kr_stock,KRW,100,1,TRUE
078520,에이블씨엔씨,KRX,kr_stock,KRW,100,1,TRUE
089590,제주항공,KRX,kr_stock,KRW,100,1,TRUE
417310,코람코더원리츠,KRX,kr_stock,KRW,100,1,TRUE
005610,삼립,KRX,kr_stock,KRW,100,1,TRUE
002810,삼영무역,KRX,kr_stock,KRW,100,1,TRUE
183190,아세아시멘트,KRX,kr_stock,KRW,100,1,TRUE
194370,제이에스코퍼레이션,KRX,kr_stock,KRW,100,1,TRUE
009290,광동제약,KRX,kr_stock,KRW,100,1,TRUE
084010,대한제강,KRX,kr_stock,KRW,100,1,TRUE
034830,한국토지신탁,KRX,kr_stock,KRW,100,1,TRUE
011760,현대코퍼레이션,KRX,kr_stock,KRW,100,1,TRUE
200880,서연이화,KRX,kr_stock,KRW,100,1,TRUE
005720,넥센,KRX,kr_stock,KRW,100,1,TRUE
091810,트리니티항공,KRX,kr_stock,KRW,100,1,TRUE
001390,KG케미칼,KRX,kr_stock,KRW,100,1,TRUE
092220,KEC,KRX,kr_stock,KRW,100,1,TRUE
007690,국도화학,KRX,kr_stock,KRW,100,1,TRUE
128820,대성산업,KRX,kr_stock,KRW,100,1,TRUE
02826K,삼성물산우B,KRX,kr_stock,KRW,100,1,TRUE
001230,동국홀딩스,KRX,kr_stock,KRW,100,1,TRUE
018250,애경산업,KRX,kr_stock,KRW,100,1,TRUE
092230,KPX홀딩스,KRX,kr_stock,KRW,100,1,TRUE
002900,TYM,KRX,kr_stock,KRW,100,1,TRUE
026890,스틱인베스트먼트,KRX,kr_stock,KRW,100,1,TRUE
016800,퍼시스,KRX,kr_stock,KRW,100,1,TRUE
017860,DS단석,KRX,kr_stock,KRW,100,1,TRUE
104700,한국철강,KRX,kr_stock,KRW,100,1,TRUE
001750,한양증권,KRX,kr_stock,KRW,100,1,TRUE
126560,현대퓨처넷,KRX,kr_stock,KRW,100,1,TRUE
108670,LX하우시스,KRX,kr_stock,KRW,100,1,TRUE
024720,콜마홀딩스,KRX,kr_stock,KRW,100,1,TRUE
